                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0799,                0.89098,                  1.229,                 0.8767,                 0.8617,                0.90404,                0.65237,                 1.0167,                0.57349,                 1.1403,               0.007921,               0.007921,               0.007921
                     65,                 1.0802,                0.89159,                 1.2287,                0.87697,                0.86154,                0.90411,                0.65277,                 1.0165,                0.57252,                 1.1399,               0.007888,               0.007888,               0.007888
                     66,                 1.0788,                0.88937,                 1.2294,                0.87833,                0.86103,                0.90413,                0.65278,                 1.0159,                 0.5716,                 1.1392,               0.007855,               0.007855,               0.007855
                     67,                 1.0766,                0.88523,                 1.2287,                0.87845,                0.86118,                0.90417,                0.65291,                  1.016,                0.57119,                 1.1394,               0.007822,               0.007822,               0.007822
                     68,                 1.0803,                0.88995,                 1.2313,                0.87668,                0.86238,                0.90444,                0.65295,                 1.0161,                0.57039,                 1.1394,               0.007789,               0.007789,               0.007789
                     69,                 1.0787,                 0.8847,                 1.2308,                0.87677,                 0.8622,                0.90453,                0.65317,                 1.0158,                0.56988,                 1.1395,               0.007756,               0.007756,               0.007756
                     70,                 1.0799,                0.88671,                 1.2273,                0.87753,                0.86212,                0.90465,                0.65349,                 1.0154,                0.56896,                  1.139,               0.007723,               0.007723,               0.007723
                     71,                 1.0775,                0.88429,                 1.2283,                0.87682,                0.86307,                0.90469,                0.65357,                 1.0149,                0.56857,                 1.1386,                0.00769,                0.00769,                0.00769
                     72,                 1.0791,                0.88546,                 1.2277,                 0.8771,                0.86319,                0.90471,                0.65368,                 1.0146,                0.56801,                 1.1382,               0.007657,               0.007657,               0.007657
                     73,                 1.0767,                0.88288,                 1.2286,                0.87602,                0.86475,                 0.9048,                0.65376,                 1.0142,                0.56734,                  1.138,               0.007624,               0.007624,               0.007624
                     74,                 1.0776,                0.88191,                 1.2284,                0.87627,                0.86466,                 0.9048,                0.65395,                 1.0139,                0.56689,                 1.1378,               0.007591,               0.007591,               0.007591
                     75,                 1.0756,                0.88209,                 1.2295,                0.87774,                0.86328,                0.90495,                0.65416,                 1.0136,                0.56661,                 1.1377,               0.007558,               0.007558,               0.007558
                     76,                 1.0736,                 0.8777,                 1.2271,                0.87737,                0.86384,                0.90485,                0.65422,                 1.0134,                0.56603,                 1.1376,               0.007525,               0.007525,               0.007525
                     77,                 1.0758,                0.88079,                 1.2264,                0.87731,                0.86475,                0.90498,                0.65445,                 1.0131,                0.56564,                 1.1374,               0.007492,               0.007492,               0.007492
                     78,                 1.0756,                 0.8745,                 1.2279,                0.87787,                0.86405,                0.90507,                0.65481,                  1.013,                0.56543,                 1.1372,               0.007459,               0.007459,               0.007459
                     79,                 1.0697,                0.87424,                 1.2249,                0.87718,                0.86469,                0.90501,                0.65474,                 1.0128,                0.56509,                  1.137,               0.007426,               0.007426,               0.007426
                     80,                 1.0709,                0.87833,                 1.2255,                0.87782,                0.86455,                0.90508,                0.65504,                 1.0123,                0.56469,                 1.1366,               0.007393,               0.007393,               0.007393
                     81,                 1.0729,                0.87303,                 1.2262,                0.87798,                0.86526,                 0.9052,                0.65523,                 1.0122,                0.56422,                 1.1364,                0.00736,                0.00736,                0.00736
                     82,                  1.071,                0.87309,                 1.2249,                0.87745,                0.86541,                0.90518,                0.65528,                 1.0121,                0.56395,                 1.1363,               0.007327,               0.007327,               0.007327
                     83,                   1.07,                0.86948,                 1.2226,                0.87745,                0.86555,                0.90518,                0.65527,                 1.0119,                0.56387,                  1.136,               0.007294,               0.007294,               0.007294
                     84,                 1.0729,                0.87507,                 1.2254,                0.87764,                0.86504,                0.90533,                0.65547,                 1.0117,                 0.5635,                 1.1359,               0.007261,               0.007261,               0.007261
                     85,                 1.0679,                0.87078,                 1.2234,                0.87857,                0.86467,                0.90526,                0.65551,                 1.0116,                0.56302,                 1.1357,               0.007228,               0.007228,               0.007228
                     86,                 1.0692,                 0.8676,                 1.2229,                0.87821,                0.86483,                0.90537,                0.65571,                 1.0116,                0.56274,                 1.1356,               0.007195,               0.007195,               0.007195
